Table with column headers in row 3						
"2014 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2015"						
State Postal Code	State FIPS Code	District ID	Name	Estimated Total Population	Estimated Population 5-17	Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AK	02	00390	Kenai Peninsula Borough School District	"57,477"	"9,569"	"1,177"
AK	02	00150	Ketchikan Gateway Borough School District	"13,787"	"2,251"	335
AK	02	00450	Klawock City School District	782	154	32
AK	02	00480	Kodiak Island Borough School District	"13,986"	"2,515"	236
AK	02	00760	Kuspuk School District	"1,477"	340	117
AK	02	00485	Lake And Peninsula School District	"1,631"	308	65
AK	02	00001	Lower Kuskokwim School District	"14,931"	"3,743"	"1,114"
AK	02	00003	Lower Yukon School District	"6,459"	"1,831"	766
AK	02	00510	Matanuska-Susitna Borough School District	"97,882"	"19,756"	"2,294"
AK	02	00540	Nenana City School District	375	68	10
AK	02	00570	Nome School District	"3,721"	728	150
AK	02	00610	North Slope Borough School District	"9,703"	"1,666"	252
AK	02	00625	Northwest Arctic Borough School District	"7,717"	"1,904"	502
AK	02	00630	Pelican City School District	85	11	3
AK	02	00660	Petersburg Borough School District	"3,160"	493	51
AK	02	00670	Pribilof School District	601	89	10
AK	02	00240	Sitka Borough School District	"8,900"	"1,431"	125
AK	02	00690	Skagway School District	"1,036"	82	5
AK	02	00700	Southeast Island School District	"1,890"	282	51
AK	02	00710	Southwest Region School District	"2,591"	602	181
AK	02	00680	St. Marys City School District	544	146	51
AK	02	00715	Tanana School District	244	48	11
AK	02	00720	Unalaska City School District	"4,524"	381	21
AK	02	00780	Valdez City School District	"3,915"	689	37
AK	02	00810	Wrangell City School District	"2,364"	368	47
AK	02	00840	Yakutat City School District	635	86	20
AK	02	00775	Yukon Flats School District	"1,428"	266	85
AK	02	00862	Yukon-Koyukuk School District	"1,984"	376	144
AK	02	00004	Yupiit School District	"1,414"	366	158
AZ	04	00450	Agua Fria Union High School District	"129,268"	"7,902"	"1,097"
AZ	04	00480	Aguila Elementary District	"1,262"	207	86
AZ	04	00520	Ajo Unified District	"3,386"	424	148
AZ	04	00600	Alhambra Elementary District	"90,463"	"15,357"	"7,714"
AZ	04	00630	Alpine Elementary District	465	47	12
AZ	04	04770	Altar Valley Elementary District	"7,455"	"1,345"	346
AZ	04	00680	Amphitheater Unified District	"139,577"	"19,047"	"3,986"
AZ	04	00720	Antelope Union High School District	"6,613"	354	93
AZ	04	00750	Apache Elementary District	161	22	8
AZ	04	00790	Apache Junction Unified District	"60,880"	"7,561"	"2,034"
AZ	04	00840	Arlington Elementary District	"1,593"	264	83
AZ	04	00870	Ash Creek Elementary District	683	49	22
AZ	04	00910	Ash Fork Joint Unified District	"1,891"	268	80
AZ	04	00960	Avondale Elementary District	"47,816"	"7,557"	"1,906"
AZ	04	01000	Bagdad Unified School District	"2,223"	467	48
AZ	04	01050	Balsz Elementary District	"31,088"	"3,722"	"1,897"
AZ	04	01080	Beaver Creek Elementary District	"4,986"	760	150
AZ	04	00212	Benson Unified School District	"7,968"	"1,145"	303
AZ	04	01160	Bicentennial Union High School District	"10,783"	319	116
AZ	04	01180	Bisbee Unified District	"6,862"	787	256
AZ	04	01230	Blue Elementary District	42	0	0
AZ	04	06580	Blue Ridge Unified District	"14,312"	"2,531"	715
AZ	04	01260	Bonita Elementary District	"1,221"	55	7
AZ	04	01290	Bouse Elementary District	"1,166"	47	9
AZ	04	01330	Bowie Unified District	590	82	14
AZ	04	01380	Buckeye Elementary District	"40,324"	"5,951"	"1,430"
AZ	04	01410	Buckeye Union High School District	"70,486"	"4,369"	761
AZ	04	01500	Bullhead City School District	"40,781"	"3,664"	"1,410"
AZ	04	01600	Camp Verde Unified District	"11,877"	"1,833"	486
AZ	04	01650	Canon Elementary District	"3,026"	344	80
AZ	04	01680	Cartwright Elementary District	"119,967"	"21,574"	"9,625"
AZ	04	01710	Casa Grande Elementary District	"64,997"	"9,240"	"2,447"
AZ	04	01740	Casa Grande Union High School District	"92,775"	"5,452"	"1,202"
AZ	04	01760	Catalina Foothills Unified District	"31,960"	"4,653"	375
AZ	04	00001	Cave Creek Unified District	"60,211"	"8,799"	580
AZ	04	01810	Cedar Unified District	"7,350"	"1,627"	607
AZ	04	01870	Chandler Unified District	"236,396"	"46,140"	"5,344"
AZ	04	01920	Chevelon Butte School District	666	28	10
AZ	04	01940	Chinle Unified District	"20,292"	"4,862"	"1,896"
AZ	04	00003	Chino Valley Unified District	"22,395"	"3,542"	914
AZ	04	00004	Clarkdale-Jerome Elementary District	"3,928"	342	58
AZ	04	02110	Clifton Unified District	"3,137"	616	32
AZ	04	02130	Cochise Elementary District	254	32	8
AZ	04	00021	Colorado City Unified District	"6,230"	"2,478"	"1,062"
AZ	04	00082	Colorado River Union High School District	"65,385"	"2,863"	723
AZ	04	02190	Concho Elementary District	"2,487"	291	110
AZ	04	02220	Congress Elementary District	"2,529"	211	61
AZ	04	02250	Continental Elementary District	"26,660"	687	91
AZ	04	02320	Coolidge Unified District	"36,871"	"8,139"	"1,736"
AZ	04	02370	Cottonwood-Oak Creek Elementary District	"30,522"	"3,000"	712
AZ	04	02400	Crane Elementary District	"44,923"	"6,588"	"1,900"
AZ	04	02430	Creighton Elementary District	"70,785"	"9,584"	"4,168"
AZ	04	02460	Crown King Elementary District	180	15	3
AZ	04	07750	Deer Valley Unified District	"255,938"	"48,660"	"5,514"
AZ	04	02490	Double Adobe Elementary District	468	83	25
AZ	04	02530	Douglas Unified District	"21,278"	"4,327"	"1,744"
AZ	04	02600	Duncan Unified District	"2,939"	586	106
AZ	04	02690	Dysart Unified District	"175,099"	"33,811"	"5,616"
AZ	04	02710	Eagle Elementary District	40	2	0
AZ	04	02760	Elfrida Elementary District	"1,088"	119	16
AZ	04	02790	Eloy Elementary District	"7,104"	"1,089"	443
AZ	04	02820	Empire Elementary District	459	70	7
AZ	04	02860	Flagstaff Unified District	"93,887"	"13,302"	"2,451"
AZ	04	02920	Florence Unified School District	"75,877"	"13,233"	"2,417"
AZ	04	03010	Flowing Wells Unified District	"30,752"	"5,168"	"1,726"
AZ	04	03150	Fort Huachuca Accommodation District	"5,454"	685	101
AZ	04	03200	Fort Thomas Unified District	"5,340"	"1,435"	457
AZ	04	03040	Fountain Hills Unified District	"24,641"	"2,712"	218
AZ	04	03060	Fowler Elementary District	"31,859"	"5,689"	"2,057"
AZ	04	03080	Fredonia-Moccasin Unified District	"2,886"	474	91
AZ	04	03240	Gadsden Elementary District	"26,237"	"4,355"	"1,741"
AZ	04	03290	Ganado Unified District	"7,211"	"1,613"	661
AZ	04	03310	Gila Bend Unified District	"2,584"	519	140
AZ	04	03400	Gilbert Unified District	"197,468"	"43,787"	"3,980"
AZ	04	03420	Glendale Elementary District	"104,470"	"16,073"	"6,255"
AZ	04	03450	Glendale Union High School District	"346,190"	"20,037"	"5,665"
AZ	04	03500	Globe Unified District	"10,541"	"1,649"	436
AZ	04	03550	Grand Canyon Unified District	"2,691"	203	50
AZ	04	03660	Hackberry School District	"1,228"	105	28
AZ	04	03730	Hayden-Winkelman Unified District	"1,328"	200	74
AZ	04	00026	Heber-Overgaard Unified District	"4,117"	492	137
AZ	04	03780	Higley Unified District	"69,278"	"15,704"	"1,244"
AZ	04	08460	Hillside Elementary District	134	22	4
AZ	04	03820	Holbrook Unified District	"10,599"	"2,303"	774
AZ	04	03870	Humboldt Unified District	"52,989"	"8,490"	"1,516"
AZ	04	03900	Hyder Elementary District	763	110	23
AZ	04	03950	Indian Oasis-Baboquivari Unified District	"7,351"	"1,639"	659
AZ	04	03960	Isaac Elementary District	"46,154"	"8,167"	"4,341"
AZ	04	03990	J. O. Combs Unified School District	"37,294"	"9,011"	"1,339"
AZ	04	04010	Joseph City Unified District	"1,802"	429	139
AZ	04	04060	Kayenta Unified District	"10,538"	"2,637"	"1,057"
AZ	04	00295	Kingman Unified School District	"66,418"	"9,101"	"2,624"
AZ	04	04170	Kirkland Elementary District	"1,173"	144	44
AZ	04	04200	Klondyke Elementary District	67	6	5
AZ	04	04230	Kyrene Elementary District	"161,007"	"18,861"	"1,674"
AZ	04	04280	Lake Havasu Unified District	"56,412"	"6,938"	"1,658"
AZ	04	04290	Laveen Elementary District	"43,808"	"7,020"	"1,717"
AZ	04	04320	Liberty Elementary District	"25,637"	"4,077"	627
AZ	04	04380	Litchfield Elementary District	"81,452"	"11,452"	"1,699"
AZ	04	04410	Littlefield Unified District	"3,992"	610	160
AZ	04	04440	Littleton Elementary District	"41,840"	"6,834"	"1,548"
AZ	04	04500	Madison Elementary District	"59,119"	"5,307"	"1,024"
AZ	04	04530	Maine Consolidated School District	"1,310"	157	24
AZ	04	04570	Mammoth-San Manuel Unified District	"5,840"	"1,145"	219
AZ	04	04630	Marana Unified District	"88,757"	"15,510"	"2,029"
AZ	04	04720	Maricopa Unified School District	"50,580"	"10,971"	"1,606"
AZ	04	04820	Mayer Unified District	"5,890"	721	215
AZ	04	04860	McNary Elementary District	551	159	68
AZ	04	04920	McNeal Elementary District	492	105	20
AZ	04	04970	Mesa Unified District	"485,879"	"82,636"	"19,794"
AZ	04	05030	Miami Unified District	"7,467"	"1,223"	537
AZ	04	05070	Mingus Union High School District	"34,449"	"1,504"	255
AZ	04	05100	Mobile Elementary District	133	25	2
AZ	04	05190	Mohave Valley Elementary District	"22,064"	"2,045"	532
AZ	04	05220	Mohawk Valley Elementary District	"1,657"	174	54
AZ	04	05320	Morenci Unified District	"3,188"	789	57
AZ	04	05340	Morristown Elementary District	"1,924"	277	37
AZ	04	05400	Murphy Elementary District	"18,485"	"2,138"	"1,066"
AZ	04	05430	Naco Elementary District	"1,457"	371	121
AZ	04	05460	Nadaburg Unified School District	"8,711"	"1,751"	259
AZ	04	05530	Nogales Unified District	"21,844"	"4,760"	"1,926"
AZ	04	05640	Oracle Elementary District	"14,569"	"1,051"	208
AZ	04	05670	Osborn Elementary District	"39,431"	"3,953"	"1,770"
AZ	04	05730	Owens-Whitney Elementary District	619	60	10
AZ	04	05820	Page Unified District	"13,360"	"2,900"	722
AZ	04	05850	Palo Verde Elementary District	"2,933"	454	115
AZ	04	08430	Paloma School District	322	84	41
AZ	04	05880	Palominas Elementary District	"10,208"	"1,648"	436
AZ	04	05930	Paradise Valley Unified District	"256,828"	"40,856"	"6,348"
AZ	04	05980	Parker Unified School District	"9,448"	"1,699"	565
AZ	04	06000	Patagonia Elementary District	"1,510"	126	39
AZ	04	06030	Patagonia Union High School District	"3,330"	129	21
AZ	04	06070	Payson Unified District	"21,443"	"2,700"	705
AZ	04	06120	Peach Springs Unified District	"1,327"	300	101
AZ	04	06150	Pearce Elementary District	"2,007"	115	31
AZ	04	06210	Pendergast Elementary District	"71,650"	"11,337"	"3,086"
AZ	04	06250	Peoria Unified School District	"222,690"	"39,839"	"5,852"
AZ	04	06300	Phoenix Elementary District	"58,999"	"6,996"	"3,709"
AZ	04	06330	Phoenix Union High School District	"698,734"	"42,982"	"14,344"
AZ	04	06360	Picacho Elementary District	"8,840"	134	32
AZ	04	06440	Pima Unified District	"3,819"	939	194
AZ	04	06510	Pine Strawberry Elementary District	"2,926"	220	53
AZ	04	00023	Pinon Unified District	"7,122"	"1,801"	757
AZ	04	06630	Pomerene Elementary District	980	162	37
AZ	04	06730	Prescott Unified District	"56,557"	"5,747"	826
AZ	04	06780	Quartzsite Elementary District	"6,084"	303	53
AZ	04	06810	Queen Creek Unified District	"28,190"	"6,958"	872
AZ	04	06850	Ray Unified District	"4,092"	770	162
AZ	04	06870	Red Mesa Unified District	"8,642"	"2,060"	815
AZ	04	06900	Red Rock Elementary District	"3,598"	589	108
AZ	04	06930	Redington Elementary District	98	15	8
AZ	04	07020	Riverside Elementary District	"7,229"	"1,331"	368
AZ	04	07080	Roosevelt Elementary District	"109,079"	"16,974"	"6,380"
AZ	04	07130	Round Valley Unified District	"8,203"	"1,477"	372
AZ	04	07140	Rucker Elementary District	26	0	0
AZ	04	07200	Sacaton Elementary District	"7,040"	"1,219"	555
AZ	04	07170	Saddle Mountain Unified School District	"9,423"	"2,072"	332
AZ	04	07240	Safford Unified District	"17,007"	"3,412"	729
AZ	04	07300	Sahuarita Unified District	"27,711"	"5,796"	730
AZ	04	00005	Salome Consolidated Elementary District	"2,728"	133	60
AZ	04	06960	San Carlos Unified District	"5,254"	"1,270"	651
AZ	04	07380	San Fernando Elementary District	53	6	0
AZ	04	07430	San Simon Unified District	667	81	18
AZ	04	06740	Sanders Unified District	"5,925"	"1,356"	589
AZ	04	07500	Santa Cruz Elementary District	"1,726"	420	116
AZ	04	07520	Santa Cruz Valley Unified District	"19,782"	"4,284"	976
AZ	04	07530	Santa Cruz Valley Union High School District	"19,542"	729	170
AZ	04	07570	Scottsdale Unified District	"235,949"	"32,182"	"3,418"
AZ	04	09733	Sedona-Oak Creek Joint Unified District	"14,958"	"1,292"	243
AZ	04	07630	Seligman Unified District	"1,364"	145	33
AZ	04	07680	Sentinel Elementary District	137	26	7
AZ	04	07700	Show Low Unified District	"16,388"	"2,716"	755
AZ	04	01460	Sierra Vista Unified District	"47,505"	"7,234"	"1,375"
AZ	04	07770	Skull Valley Elementary District	634	110	15
AZ	04	07820	Snowflake Unified District	"12,313"	"2,740"	558
AZ	04	07860	Solomon Elementary District	"2,940"	397	86
AZ	04	07890	Somerton Elementary District	"22,405"	"3,203"	"1,128"
AZ	04	07920	Sonoita Elementary District	"1,821"	120	24
AZ	04	08020	St. David Unified District	"3,569"	518	99
AZ	04	08080	St. Johns Unified District	"4,216"	830	253
AZ	04	08130	Stanfield Elementary District	"5,554"	818	180
AZ	04	08170	Sunnyside Unified District	"89,942"	"19,735"	"7,579"
AZ	04	08230	Superior Unified School District	"3,598"	587	132
AZ	04	08280	Tanque Verde Unified District	"11,765"	"1,921"	158
AZ	04	08310	Tempe School District	"153,911"	"12,777"	"4,400"
AZ	04	08340	Tempe Union High School District	"314,918"	"15,656"	"2,218"
AZ	04	08410	Thatcher Unified District	"7,563"	"1,557"	211
AZ	04	08490	Tolleson Elementary District	"16,116"	"2,742"	917
AZ	04	08520	Tolleson Union High School District	"176,428"	"12,367"	"2,767"
AZ	04	08550	Toltec Elementary District	"15,184"	"1,962"	276
AZ	04	08600	Tombstone Unified District	"7,414"	"1,051"	197
AZ	04	05760	Tonto Basin Elementary District	"1,619"	102	48
AZ	04	08640	Topock Elementary District	"2,540"	161	49
AZ	04	08680	Tuba City Unified District	"16,452"	"3,711"	"1,199"
AZ	04	08800	Tucson Unified District	"484,370"	"73,065"	"20,444"
AZ	04	08820	Union Elementary District	"14,962"	"2,802"	705
AZ	04	08850	Vail Unified District	"53,832"	"11,003"	816
AZ	04	08880	Valentine Elementary District	253	39	10
AZ	04	08910	Valley Union High School District	"3,778"	174	43
AZ	04	00022	Vernon Elementary District	"1,939"	275	89
AZ	04	09030	Walnut Grove Elementary District	106	1	0
AZ	04	09060	Washington Elementary District	"241,720"	"28,672"	"9,485"
AZ	04	09090	Wellton Elementary District	"4,193"	353	104
AZ	04	09120	Wenden Elementary District	805	104	42
AZ	04	09160	Whiteriver Unified District	"11,239"	"2,712"	"1,043"
AZ	04	09190	Wickenburg Unified District	"11,983"	"1,402"	370
AZ	04	09250	Willcox Unified District	"8,279"	"1,495"	334
AZ	04	09310	Williams Unified District	"5,883"	899	260
AZ	04	09360	Williamson Valley Elementary School District	630	59	11
AZ	04	09390	Wilson Elementary District	"4,124"	608	350
AZ	04	09430	Window Rock Unified District	"11,897"	"2,567"	941
AZ	04	09460	Winslow Unified District	"11,623"	"2,196"	710
AZ	04	09510	Yarnell Elementary District	"1,226"	67	20
AZ	04	09540	Young Elementary School District	877	95	24
AZ	04	09570	Yucca Elementary District	697	49	10
AZ	04	09600	Yuma Elementary District	"103,069"	"10,809"	"2,428"
AZ	04	09630	Yuma Union High School District	"196,634"	"12,028"	"3,738"
AR	05	02250	Alma School District	"16,025"	"3,206"	678
AR	05	02280	Alpena School District	"2,984"	541	148
AR	05	02430	Arkadelphia School District	"15,963"	"2,044"	492
AR	05	02550	Armorel School District	"1,397"	328	51
AR	05	02580	Ashdown School District	"9,270"	"1,530"	350
AR	05	02610	Atkins Public Schools	"6,762"	"1,197"	251
AR	05	02670	Augusta School District	"3,385"	512	166
AR	05	02700	Bald Knob School District	"7,448"	"1,366"	399
AR	05	02730	Barton-Lexa School District	"2,962"	574	159
AR	05	00019	Batesville School District	"19,741"	"3,365"	765
AR	05	02790	Bauxite School District	"6,582"	"1,250"	159
AR	05	02820	Bay School District	"3,111"	560	137
AR	05	00032	Bearden School District	"3,329"	521	155
AR	05	02880	Beebe School District	"17,777"	"3,469"	721
AR	05	02960	Benton School District	"30,916"	"5,616"	750
AR	05	03060	Bentonville Public Schools	"81,707"	"16,649"	"1,492"
AR	05	03090	Bergman School District	"5,006"	912	195
AR	05	03150	Berryville Public Schools	"11,010"	"2,126"	615
AR	05	03240	Bismarck Public Schools	"6,289"	"1,036"	302
AR	05	03300	Blevins School District	"3,582"	650	205
AR	05	03320	Blytheville School District	"16,290"	"3,162"	"1,130"
